,ID,Name,Frequency [MHz],Bandwidth [kHz]/Baud,Status,Description,Source,Orbit
307,42775,AALTO-1,None,None,Active,None,CelesTrak,LEO
308,42775,AALTO-1,437.22,9600.0,invalid,GFSK9k6,SatNOGS,None
309,42775,AALTO-1,437.22,None,inactive,TLM CW,SatNOGS,None
310,42775,AALTO-1,2402.0,1600000.0,active,S-Band downlink (TI CC1125),SatNOGS,None
311,42775,AALTO-1,437.22,9600.0,active,GFSK9600,SatNOGS,None
312,42729,AALTO-2,437.335,9600.0,inactive,TLM GFSK,SatNOGS,None
313,27846,AAU CUBESAT,None,None,Active,nan,Space-Track,MEO
314,39087,AAUSAT 3,437.425,None,active,Mode 4800bps FSK CW,SatNOGS,None
315,41460,AAUSAT 4,None,None,Active,None,CelesTrak,LEO
316,41460,AAUSAT 4,437.425,None,active,Mode U Beacon,SatNOGS,None
317,41460,AAUSAT 4,437.424,2400.0,active,"Mode U TLM (default, drifting)",SatNOGS,None
318,41460,AAUSAT 4,None,None,Active,nan,Space-Track,LEO
319,41460,AAUSAT 4,437.424,9600.0,active,Mode U TLM,SatNOGS,None
320,40948,AAUSAT 5,437.425,None,inactive,CW TLM,SatNOGS,None
321,40948,AAUSAT 5,437.425,9600.0,inactive,9k6 GMSK TLM,SatNOGS,None
322,40948,AAUSAT 5,437.425,4800.0,inactive,4k8 BFSK TLM,SatNOGS,None
323,40948,AAUSAT 5,437.425,1200.0,inactive,1k2 GMSK TLM,SatNOGS,None
324,32788,AAUSAT CUBESAT 2,None,None,Active,nan,Space-Track,LEO
325,27846,AAUSAT-1,437.45,None,Inactive,9600bps GMSK,AmSAT,None
326,32788,AAUSAT-2,437.426,None,Active,1k2 MSK 9k6 FSK,AmSAT,None
327,39087,AAUSAT-3,437.425,None,Inactive,4800bps FSK CW,AmSAT,None
328,39087,AAUSAT-3,437.425,None,Inactive,"Beacon, 4800bps FSK CW",AmSAT,None
329,41460,AAUSAT-4,437.425,None,Active,2k4/9k6/19k2 GFSK CW,AmSAT,None
330,41460,AAUSAT-4,437.425,None,Active,"Beacon, 2k4/9k6/19k2 GFSK CW",AmSAT,None
331,40948,AAUSAT-5,437.425,None,Re-entered,"Beacon, 9600bps GMSK CW",AmSAT,None
332,40948,AAUSAT-5,437.425,None,Re-entered,9600bps GMSK CW,AmSAT,None
333,32788,AAUSAT-II,437.4295,1200.0,invalid,PE0SAT - 1k2 MSK TLM,SatNOGS,None
334,32788,AAUSAT-II,437.425,1200.0,active,Mode U 1k2 AFSK TLM,SatNOGS,None
335,32788,AAUSAT-II,None,None,Active,None,CelesTrak,LEO
336,39087,AAUSAT3,None,None,Active,nan,Space-Track,MEO
337,41460,AAt-4,None,None,None,None,UCS,LEO
338,23768,ABS 1A (KOREASAT 2),None,None,Active,nan,Space-Track,GEO
339,39508,ABS 2,None,None,Active,nan,Space-Track,GEO
340,41588,ABS 2A,None,None,Active,nan,Space-Track,GEO
341,24901,ABS 3 (AGILA 2),None,None,Active,nan,Space-Track,GEO
342,40424,ABS 3A,None,None,Active,nan,Space-Track,GEO
343,28184,ABS 4 (MBSAT),None,None,Active,nan,Space-Track,GEO
344,25924,ABS 6 (LMI 1),None,None,Active,nan,Space-Track,GEO
345,25894,ABS 7 (KOREASAT 3),None,None,Active,nan,Space-Track,GEO
346,39508,ABS-2,None,None,None,None,UCS,GEO
347,39508,ABS-2,None,None,Active,None,CelesTrak,GEO
348,41588,ABS-2A,None,None,None,None,UCS,GEO
349,41588,ABS-2A (MONGOLSAT-1),None,None,Active,None,CelesTrak,GEO
350,40424,ABS-3A,None,None,Active,None,CelesTrak,GEO
351,None,ABS-3A,3950.0,500000.0 kHz,None,Permitted List,FCC,None
352,None,ABS-3A,6175.5,501000.0 kHz,None,Permitted List,FCC,None
353,40424,ABS-3A,None,None,None,None,UCS,GEO
354,None,ABS-3A,11075.0,250000.0 kHz,None,Permitted List,FCC,None
355,None,ABS-3A,14125.0,250000.0 kHz,None,Permitted List,FCC,None
356,28184,ABS-4,None,None,None,None,UCS,GEO
357,28184,ABS-4 (MOBISAT-1),None,None,Active,None,CelesTrak,GEO
358,25924,ABS-6,None,None,Active,None,CelesTrak,GEO
359,25924,ABS-6,None,None,None,None,UCS,GEO
360,24912,ACE,None,None,Active,HELIOCENTRIC ORBIT (SUN),Space-Track,None
361,26033,ACRIMSAT,None,None,Active,nan,Space-Track,MEO
362,44369,ACRUX-1,437.425,9600.0,inactive,MODE U GFSK9k6 AX.25 - Factory Setting,SatNOGS,None
363,44369,ACRUX-1,437.2,9600.0,inactive,MODE U GFSK9k6 AX.25,SatNOGS,None
364,44369,ACRUX-1,437.2,None,Re-entered,9600bps GMSK,AmSAT,None
365,22796,ACTS,None,None,Active,nan,Space-Track,GEO
366,24277,ADEOS,None,None,Active,nan,Space-Track,MEO
367,27597,ADEOS 2,None,None,Active,nan,Space-Track,MEO
368,36868,AEHF 1 (USA 214),None,None,Active,nan,Space-Track,GEO
369,38254,AEHF 2 (USA 235),None,None,Active,nan,Space-Track,GEO
370,39256,AEHF 3 (USA 246),None,None,Active,nan,Space-Track,GEO
371,43651,AEHF 4 (USA 288),None,None,Active,nan,Space-Track,GEO
372,44481,AEHF 5 (USA 292),None,None,Active,nan,Space-Track,GEO
